341300000000,1,1,34/3413.html,安徽省,宿州市
410300000000,1,1,41/4103.html,河南省,洛阳市
411500000000,1,1,41/4115.html,河南省,信阳市
420100000000,1,1,42/4201.html,湖北省,武汉市
420500000000,1,1,42/4205.html,湖北省,宜昌市
441900000000,1,1,44/4419.html,广东省,东莞市
610100000000,1,1,61/6101.html,陕西省,西安市
442000105000,2,0,44/20/442000105.html,广东省,中山市,古镇镇
442000106000,2,0,44/20/442000106.html,广东省,中山市,沙溪镇
442000107000,2,0,44/20/442000107.html,广东省,中山市,坦洲镇
442000108000,2,0,44/20/442000108.html,广东省,中山市,港口镇
442000109000,2,0,44/20/442000109.html,广东省,中山市,三角镇
442000110000,2,0,44/20/442000110.html,广东省,中山市,横栏镇
442000111000,2,0,44/20/442000111.html,广东省,中山市,南头镇
442000112000,2,0,44/20/442000112.html,广东省,中山市,阜沙镇
442000113000,2,0,44/20/442000113.html,广东省,中山市,南朗镇
442000114000,2,0,44/20/442000114.html,广东省,中山市,三乡镇
442000115000,2,0,44/20/442000115.html,广东省,中山市,板芙镇
442000116000,2,0,44/20/442000116.html,广东省,中山市,大涌镇
442000117000,2,0,44/20/442000117.html,广东省,中山市,神湾镇
445122000000,2,3,44/51/445122.html,广东省,潮州市,饶平县
445222000000,2,3,44/52/445222.html,广东省,揭阳市,揭西县
445321000000,2,3,44/53/445321.html,广东省,云浮市,新兴县
450422000000,2,3,45/04/450422.html,广西壮族自治区,梧州市,藤县
450603000000,2,1,45/06/450603.html,广西壮族自治区,防城港市,防城区
450722000000,2,3,45/07/450722.html,广西壮族自治区,钦州市,浦北县
450804000000,2,1,45/08/450804.html,广西壮族自治区,贵港市,覃塘区
450981000000,2,2,45/09/450981.html,广西壮族自治区,玉林市,北流市
460400100000,2,0,46/04/460400100.html,海南省,儋州市,那大镇
460400101000,2,0,46/04/460400101.html,海南省,儋州市,和庆镇
460400102000,2,0,46/04/460400102.html,海南省,儋州市,南丰镇
460400103000,2,0,46/04/460400103.html,海南省,儋州市,大成镇
460400104000,2,0,46/04/460400104.html,海南省,儋州市,雅星镇
460400105000,2,0,46/04/460400105.html,海南省,儋州市,兰洋镇
460400106000,2,0,46/04/460400106.html,海南省,儋州市,光村镇
460400107000,2,0,46/04/460400107.html,海南省,儋州市,木棠镇
460400108000,2,0,46/04/460400108.html,海南省,儋州市,海头镇
460400109000,2,0,46/04/460400109.html,海南省,儋州市,峨蔓镇
460400111000,2,0,46/04/460400111.html,海南省,儋州市,王五镇
460400112000,2,0,46/04/460400112.html,海南省,儋州市,白马井镇
460400113000,2,0,46/04/460400113.html,海南省,儋州市,中和镇
460400114000,2,0,46/04/460400114.html,海南省,儋州市,排浦镇
460400115000,2,0,46/04/460400115.html,海南省,儋州市,东成镇
460400116000,2,0,46/04/460400116.html,海南省,儋州市,新州镇
460400499000,2,1,46/04/460400499.html,海南省,儋州市,洋浦经济开发区
460400500000,2,0,46/04/460400500.html,海南省,儋州市,华南热作学院
500101000000,2,1,50/01/500101.html,重庆市,市辖区,万州区
500235000000,2,3,50/02/500235.html,重庆市,县,云阳县
510182000000,2,2,51/01/510182.html,四川省,成都市,彭州市
510422000000,2,3,51/04/510422.html,四川省,攀枝花市,盐边县
510705000000,2,1,51/07/510705.html,四川省,绵阳市,安州区
510722000000,2,3,51/07/510722.html,四川省,绵阳市,三台县
511011000000,2,1,51/10/511011.html,四川省,内江市,东兴区
511133000000,2,4,51/11/511133.html,四川省,乐山市,马边彝族自治县
511528000000,2,3,51/15/511528.html,四川省,宜宾市,兴文县
513221000000,2,3,51/32/513221.html,四川省,阿坝藏族羌族自治州,汶川县
513426000000,2,3,51/34/513426.html,四川省,凉山彝族自治州,会东县
520203000000,2,7,52/02/520203.html,贵州省,六盘水市,六枝特区
520325000000,2,4,52/03/520325.html,贵州省,遵义市,道真仡佬族苗族自治县
520522000000,2,3,52/05/520522.html,贵州省,毕节市,黔西县
522626000000,2,3,52/26/522626.html,贵州省,黔东南苗族侗族自治州,岑巩县
522629000000,2,3,52/26/522629.html,贵州省,黔东南苗族侗族自治州,剑河县
522731000000,2,3,52/27/522731.html,贵州省,黔南布依族苗族自治州,惠水县
530181000000,2,2,53/01/530181.html,云南省,昆明市,安宁市
530427000000,2,4,53/04/530427.html,云南省,玉溪市,新平彝族傣族自治县
530524000000,2,3,53/05/530524.html,云南省,保山市,昌宁县
532322000000,2,3,53/23/532322.html,云南省,楚雄彝族自治州,双柏县
610116000000,2,1,61/01/610116.html,陕西省,西安市,长安区
610122000000,2,1,61/01/610122.html,陕西省,西安市,蓝田县
610304000000,2,1,61/03/610304.html,陕西省,宝鸡市,陈仓区
610331000000,2,3,61/03/610331.html,陕西省,宝鸡市,太白县
610502000000,2,1,61/05/610502.html,陕西省,渭南市,临渭区
610631000000,2,3,61/06/610631.html,陕西省,延安市,黄龙县
610826000000,2,3,61/08/610826.html,陕西省,榆林市,绥德县
610828000000,2,3,61/08/610828.html,陕西省,榆林市,佳县
620821000000,2,3,62/08/620821.html,甘肃省,平凉市,泾川县
621102000000,2,1,62/11/621102.html,甘肃省,定西市,安定区
622901000000,2,2,62/29/622901.html,甘肃省,临夏回族自治州,临夏市
622927000000,2,4,62/29/622927.html,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县
110108003000,3,1,11/01/08/110108003.html,北京市,市辖区,海淀区,羊坊店街道办事处
